feedback_id,opportunity_id,selected_route,actual_result,confidence_before,confidence_after
FB001,OP001,Advisor,Delayed,93,71
FB002,OP002,Advisor,Converted,94,73
FB003,OP003,Advisor,Rejected,52,77
FB004,OP004,Direct,Converted,89,98
FB005,OP005,Advisor,Rejected,91,90
FB006,OP006,Direct,Converted,82,99
FB007,OP007,Anchor,Rejected,92,58
FB008,OP008,Direct,Delayed,76,98
FB009,OP009,Anchor,Rejected,53,55
FB010,OP010,Anchor,Converted,89,83
FB011,OP011,Advisor,Rejected,95,96
FB012,OP012,Anchor,Rejected,84,93
FB013,OP013,Advisor,Rejected,62,73
FB014,OP014,Direct,Converted,93,59
FB015,OP015,Advisor,Converted,82,62
FB016,OP016,Direct,Converted,77,72
FB017,OP017,Anchor,Converted,60,92
FB018,OP018,Anchor,Converted,71,84
FB019,OP019,Advisor,Converted,59,75
FB020,OP020,Transaction,Rejected,89,97
FB021,OP021,Anchor,Delayed,86,90
FB022,OP022,Anchor,Converted,95,75
FB023,OP023,Advisor,Converted,83,59
FB024,OP024,Advisor,Delayed,84,89
FB025,OP025,Direct,Converted,72,69
FB026,OP026,Advisor,Rejected,71,76
FB027,OP027,Anchor,Delayed,63,94
FB028,OP028,Direct,Rejected,91,55
FB029,OP029,Transaction,Rejected,72,83
FB030,OP030,Advisor,Rejected,89,94
FB031,OP031,Advisor,Converted,93,75
FB032,OP032,Direct,Converted,74,71
FB033,OP033,Anchor,Converted,83,78
FB034,OP034,Direct,Delayed,52,73
FB035,OP035,Advisor,Delayed,82,60
FB036,OP036,Transaction,Converted,84,89
FB037,OP037,Transaction,Rejected,54,68
FB038,OP038,Advisor,Rejected,77,61
FB039,OP039,Advisor,Rejected,94,82
FB040,OP040,Transaction,Rejected,93,64
FB041,OP041,Transaction,Delayed,95,76
FB042,OP042,Transaction,Converted,54,58
FB043,OP043,Advisor,Delayed,85,59
FB044,OP044,Advisor,Delayed,76,79
FB045,OP045,Direct,Rejected,75,82
FB046,OP046,Anchor,Converted,74,98
FB047,OP047,Transaction,Rejected,50,96
FB048,OP048,Transaction,Rejected,87,57
FB049,OP049,Transaction,Delayed,82,61
FB050,OP050,Anchor,Rejected,69,93
